symbol,date,num,level,level2,level3,level4,male,female,maleCategory2,femaleCategory2,maleCategory3,femaleCategory3,maleCategory4,femaleCategory4,males%,females%
CA,2007,12132327,50.8,51.2,58.3,40.6,58.7,42.9,50,30.4,63.1,39.2,63,59.1,,
CA,2008,12389673,51.1,51.8,58.1,40.3,58.6,43.5,47.9,32,62.3,40.9,65.6,57.6,,
CA,2009,12731188,51.6,52.8,59,39.3,59.2,43.9,46.8,31.1,63.6,41.4,67.2,59.2,,
CA,2010,13099396,52.3,52.7,60.8,40.6,60.9,43.7,48.3,32.1,64.3,40.3,70.1,58.7,,
CA,2011,13211116,52.1,54.3,59.6,40.3,60.1,44.2,47.3,32.5,64.1,44.4,68.9,55.7,,
CA,2012,13485120,52.5,52.8,59.9,41.1,59.9,45,48.9,32.7,63.1,41.8,67.7,60.5,,
CA,2013,13941347,53.6,56.6,60.7,41.4,62,45.1,49.6,32.1,69.4,43.3,67,59.9,,
CA,2014,14222521,54,54.5,61.8,42,61.8,46.2,49.8,33.3,65.7,43.2,69.9,62.1,,
NL,2007,238457,62.8,58.1,68.8,53.8,66.2,59.5,54.3,53.2,64,52.5,80.3,72.8,,
NL,2008,240811,63.5,71.2,69.4,50.5,69.3,58,52.4,48.8,87.7,52.1,67.8,73.1,,
NL,2009,248880,64.6,69.1,73.1,48.5,75.7,53.9,65.8,31.2,82,56.2,79.3,74.3,,
NL,2010,243231,63.2,63.6,67.2,55.1,69.1,57.6,55.6,54.6,74.6,52.9,77.1,65.3,,
NL,2011,265177,69.3,72.3,74,64.1,77,61.9,67.4,60.2,87.4,59.8,76.2,65.7,,
NL,2012,243825,63.2,70.6,70.1,49.5,72.4,54.2,63,35.8,83,58,71.2,68.8,,
NL,2013,266823,69.2,73,77,60.1,75,63.6,64.6,54.8,83.7,63.4,76.7,72.6,,
NL,2014,272818,67.5,76.3,73.7,59.2,72.6,62.4,60.9,57.2,84.7,68.7,72.2,61.3,,
PEI,2007,59941,59.9,64.8,63.6,53.7,69.3,50.8,65.8,44.2,73.8,52,68.3,56.2,,
PEI,2008,60371,59.5,69.9,63.9,45,67.2,52.1,55.3,34.6,78.9,61.3,67.4,60.4,,
PEI,2009,58943,59,62.8,63.8,48.6,68.3,50.5,51.7,46.1,75.9,49.8,77.3,55.6,,
PEI,2010,58396,56.6,60,58.4,45.5,67.1,46.1,53,38.1,64.9,53.9,83.4,46.3,,
PEI,2011,60836,57.6,51.2,66.2,42.4,67.2,48,52,32.2,68.9,32.1,80.7,79.7,,
PEI,2012,66801,61.3,63.8,64.8,50.6,70.7,52.6,68.2,32,67.4,60.4,76.5,65.4,,
PEI,2013,68979,64.4,52.2,74.2,53.5,71,58,51.7,55.5,51.7,52.6,109.6,65.9,,
PEI,2014,65238,61,67.6,64.2,46.7,63,59.1,47.6,45.7,77,59.5,64.4,72.1,,
NS,2007,238457,57.7,57.2,65.2,48,65.5,50.5,56.8,39.1,69.7,46,70,66.4,,
NS,2008,240811,63.2,66.5,68.5,58.7,66.2,60.3,63.1,54.3,68.8,64.3,66.7,62.3,,
NS,2009,248880,60.3,58.3,66.8,49.2,66.9,54.1,54.5,44,76.8,41.4,69.4,76.9,,
NS,2010,243231,61.1,62.8,68.2,50.9,68.1,54.6,63,39,73.5,52.6,67.8,72.2,,
NS,2011,265177,61,63.7,69.8,48.7,67.9,54.5,54.5,42.9,73.4,55.1,75.8,65.5,,
NS,2012,243825,60.5,56.2,68.7,51.9,69.5,52.1,61.1,42.8,70.8,42.8,76.6,70.7,,
NS,2013,266823,61,58.9,70.2,52.5,64.2,58.1,53.2,51.8,59.8,58.2,79.6,64.3,,
NS,2014,272818,62.6,66.6,69.1,51.9,68.5,57.1,55,48.8,76.5,56.8,74,65.7,,
NB,2007,59941,59.3,65.9,65,49.7,65.7,53.3,57.7,41.1,71.4,60.8,68,58,,
NB,2008,60371,61,63.1,68.4,54.6,69.1,53.1,63.4,44.9,72.2,53.8,71.7,60.6,,
NB,2009,58943,62.9,67.2,67.9,56.5,67.3,58.9,62.9,50,76.7,59.1,62.3,67.6,,
NB,2010,58396,62.8,60.1,71.5,52.9,66,59.7,53.5,52.3,63.3,56.9,81.2,69.9,,
NB,2011,60836,59.4,55.3,68.4,49.9,63.1,55.8,49.8,50.1,62.7,48.3,76.8,69,,
NB,2012,66801,60.8,67.7,69.8,42.1,69.7,52.4,50.3,33.8,80,54.9,78.8,68.5,,
NB,2013,68979,64.3,70.4,69.9,52.7,68.8,60.1,56.8,48,71.7,69.2,77.9,63.1,,
NB,2014,65238,64,65.8,71.5,51.4,70,58.2,56,46.9,71.4,59.5,82.6,68.2,,
QC,2007,238457,48.5,50.5,56,35.9,55.8,41.4,45.1,25.8,62,38.5,60.3,59.9,,
QC,2008,240811,48,48.4,54.3,36.5,56,40.1,43.7,28.2,60.3,36.5,64,55.6,,
QC,2009,248880,49.2,50.7,56.5,35.2,56.3,42.1,43.8,25.6,59.7,41.4,65.4,59.3,,
QC,2010,243231,51.8,53.2,59.5,40.3,60.7,42.8,47.7,32.2,66.8,38,67.6,58.2,,
QC,2011,265177,50.1,51.6,57.4,37.9,58,42.3,47.8,26.3,61.2,41.8,65,58.8,,
QC,2012,243825,50.8,50.6,59.2,37.5,58,43.6,43.6,30.8,64.1,35.6,66.3,64.4,,
QC,2013,266823,53,57.7,58.5,41.6,61.2,44.8,48.4,34,73.8,40.3,61.4,60.1,,
QC,2014,272818,51.4,51,58.4,39.2,59.3,43.4,48.7,28.6,62.8,38.2,66.4,63.4,,
ON,2007,59941,51.6,52,59.5,40.3,59.6,43.6,49.5,30.4,63.3,40.3,66,60.1,,
ON,2008,60371,51.6,52.9,58.6,39.3,59.3,43.9,47.4,30.7,63.4,41.7,67.1,59.3,,
ON,2009,58943,51.4,51.1,59.2,39.1,58.7,44.1,46,31.8,61.8,39.9,68.3,60.6,,
ON,2010,58396,52.6,52.7,61.3,40.1,60.9,44.3,48.3,31.3,63.7,41.4,70.7,60.2,,
ON,2011,60836,52.3,54.4,59.9,40.4,59.9,44.8,45.8,34.7,63.1,46.2,70.8,53.5,,
ON,2012,66801,52.9,52,60.3,43,60.7,45.2,50.1,35.3,62.2,41.6,69.8,58.7,,
ON,2013,68979,53.2,53.4,62.2,39.9,61.6,44.8,48,31.2,66.3,39.7,70.5,63.5,,
ON,2014,65238,54.6,54,63,41.9,62.4,46.9,49.4,33.9,63.9,44.3,73.9,62.5,,
MN,2007,238457,55.6,55.3,63.7,46.6,62.7,48.3,52.5,39.6,72.9,38.5,62.7,66.8,,
MN,2008,240811,54.5,58.3,61.6,43.9,61.2,47.7,50.1,36.6,63.2,53.5,70.3,53,,
MN,2009,248880,58,63.3,67.5,42.8,65,50.9,53.3,31.1,68.6,57.9,73.1,63.7,,
MN,2010,243231,60.7,66,67.6,54.6,68.5,52.9,61.9,46.5,70,61.5,73.6,50.7,,
MN,2011,265177,58.4,63.1,67.2,46.1,64.4,52.2,53.5,37.4,69.2,57.1,70.5,62.1,,
MN,2012,243825,56.3,60.3,60,48.8,65.5,46.6,61.6,33.1,76.6,44.1,58.3,62.6,,
MN,2013,266823,56.9,71.6,64.6,39.2,64.2,49.2,47.2,30.7,82.5,57.8,62.9,59.1,,
MN,2014,272818,61.5,66.3,69.6,48.7,67.8,55.1,55.6,41.1,77.9,53.9,69.9,70.3,,
SK,2007,59941,56.1,53.7,65.6,48.7,64.9,47.5,57.4,38.2,71.3,38.7,66,65.6,,
SK,2008,60371,59.7,64.9,69.5,50.4,67.1,51.9,60.7,38.7,73.3,55.8,67.3,61.2,,
SK,2009,58943,58.6,58.7,68.9,48.3,65.3,51.5,49.9,46.3,65.6,52.2,80.4,56,,
SK,2010,58396,58.9,64.2,63.4,52.4,67.6,49.9,64.8,38.1,78.3,50,59.7,61.6,,
SK,2011,60836,59.4,66.1,66.9,46.3,67,51.6,50.3,41.6,76,55.3,74.7,57.9,,
SK,2012,66801,59.5,62.9,69.3,45,68.8,49.8,55,34.5,75.9,47.6,75.5,67.3,,
SK,2013,68979,61.1,70.9,67.8,47.3,69.9,51.7,53.9,39.5,81.6,59.9,74.2,55.7,,
SK,2014,65238,58.4,59.9,65.3,46,63.7,52.6,48.5,43,73.8,44.6,68.8,70.2,,
AB,2007,238457,53,53.6,60.1,45.9,60.9,44.5,56.1,33.6,65.2,41.3,61.4,58.6,,
AB,2008,240811,52.4,52.1,60.5,43.9,60.4,43.7,53.8,32,62,41.2,65.4,57.9,,
AB,2009,248880,55.1,58.6,62,46.3,63.8,45.3,52.7,38.3,71.1,44.1,67.6,53.5,,
AB,2010,243231,51.6,52,62.6,38.6,59.9,42.3,46.8,29,63.1,38.4,69.8,59.5,,
AB,2011,265177,52.2,57.8,58.9,42,62,41.6,52.1,30.8,64.2,49.5,69.7,44.5,,
AB,2012,243825,53.1,54.8,61.1,43.5,58.4,47.4,52.3,34.6,60.3,47.1,62.6,60.5,,
AB,2013,266823,54.6,61.6,60,44.4,64.4,44,54.2,32.4,73.3,49.4,65.7,50.2,,
AB,2014,272818,55,56.5,65.5,43,63.7,45.8,49.1,35.4,74.7,39.7,67.3,62.3,,
BC,2007,59941,43.9,41.2,50.6,37,53.7,34.4,48.4,25.2,55.3,27.5,57.4,50.5,,
BC,2008,60371,45.1,42.1,53,36,52.1,38.2,41.2,30.7,53.6,30.1,61.5,53.8,,
BC,2009,58943,45.1,46.6,51.6,32.2,54.2,36,40.5,23.5,60.7,32.1,61.4,52.4,,
BC,2010,58396,44.4,42.2,53.7,32.7,54.9,33.7,39.9,24.3,55.9,29.4,68.9,47.4,,
BC,2011,60836,46.6,46.4,54,34.4,55.7,37.5,40.4,27.7,64.2,28.7,62.5,56.1,,
BC,2012,66801,46.5,48,52.4,33.8,54,39.2,43.2,23.4,54.7,41.6,64.1,52.6,,
BC,2013,68979,46.9,49.1,52.7,35.7,56.8,37,48.2,21.6,62.1,36.8,60.1,52.6,,
BC,2014,65238,48,48.7,53.7,38.2,56.9,39.1,49.8,25.4,57.3,40.1,63.6,51.8,,
